pathway_id	gene_id
mmu00010	mmu:103988
mmu00010	mmu:106557
mmu00010	mmu:110695
mmu00010	mmu:11522
mmu00010	mmu:11529
mmu00010	mmu:11532
mmu00010	mmu:115487111
mmu00010	mmu:11669
mmu00010	mmu:11670
mmu00010	mmu:11671
mmu00010	mmu:11674
mmu00010	mmu:11676
mmu00010	mmu:12183
mmu00010	mmu:13382
mmu00010	mmu:13806
mmu00010	mmu:13807
mmu00010	mmu:13808
mmu00010	mmu:14120
mmu00010	mmu:14121
mmu00010	mmu:14377
mmu00010	mmu:14378
mmu00010	mmu:14433
mmu00010	mmu:14447
mmu00010	mmu:14751
mmu00010	mmu:15275
mmu00010	mmu:15277
mmu00010	mmu:16828
mmu00010	mmu:16832
mmu00010	mmu:16833
mmu00010	mmu:17330
mmu00010	mmu:18534
mmu00010	mmu:18597
mmu00010	mmu:18598
mmu00010	mmu:18641
mmu00010	mmu:18642
mmu00010	mmu:18648
mmu00010	mmu:18655
mmu00010	mmu:18663
mmu00010	mmu:18746
mmu00010	mmu:18770
mmu00010	mmu:212032
mmu00010	mmu:216019
mmu00010	mmu:21991
mmu00010	mmu:226265
mmu00010	mmu:230163
mmu00010	mmu:235339
mmu00010	mmu:26876
mmu00010	mmu:319625
mmu00010	mmu:353204
mmu00010	mmu:433182
mmu00010	mmu:56012
mmu00010	mmu:56421
mmu00010	mmu:56752
mmu00010	mmu:58810
mmu00010	mmu:60525
mmu00010	mmu:621603
mmu00010	mmu:66681
mmu00010	mmu:67689
mmu00010	mmu:68263
mmu00010	mmu:68401
mmu00010	mmu:68738
mmu00010	mmu:72141
mmu00010	mmu:72157
mmu00010	mmu:72535
mmu00010	mmu:73458
mmu00010	mmu:74551
mmu00010	mmu:79459
mmu00020	mmu:104112
mmu00020	mmu:11428
mmu00020	mmu:11429
mmu00020	mmu:12974
mmu00020	mmu:13382
mmu00020	mmu:14194
mmu00020	mmu:15926
mmu00020	mmu:15929
mmu00020	mmu:170718
mmu00020	mmu:17448
mmu00020	mmu:17449
mmu00020	mmu:18293
mmu00020	mmu:18534
mmu00020	mmu:18563
mmu00020	mmu:18597
mmu00020	mmu:18598
mmu00020	mmu:20916
mmu00020	mmu:20917
mmu00020	mmu:235339
mmu00020	mmu:239017
mmu00020	mmu:243996
mmu00020	mmu:269951
mmu00020	mmu:56451
mmu00020	mmu:66052
mmu00020	mmu:66925
mmu00020	mmu:66945
mmu00020	mmu:67680
mmu00020	mmu:67834
mmu00020	mmu:68263
mmu00020	mmu:71832
mmu00020	mmu:74551
mmu00020	mmu:78920
mmu00030	mmu:100198
mmu00030	mmu:110208
mmu00030	mmu:110639
mmu00030	mmu:11674
mmu00030	mmu:11676
mmu00030	mmu:14120
mmu00030	mmu:14121
mmu00030	mmu:14380
mmu00030	mmu:14381
mmu00030	mmu:14751
mmu00030	mmu:18641
mmu00030	mmu:18642
mmu00030	mmu:19139
mmu00030	mmu:19733
mmu00030	mmu:19895
mmu00030	mmu:21351
mmu00030	mmu:21881
mmu00030	mmu:230163
mmu00030	mmu:232449
mmu00030	mmu:235582
mmu00030	mmu:328099
mmu00030	mmu:353204
mmu00030	mmu:56421
mmu00030	mmu:66171
mmu00030	mmu:66646
mmu00030	mmu:66681
mmu00030	mmu:71336
mmu00030	mmu:72157
mmu00030	mmu:74419
mmu00030	mmu:74637
mmu00030	mmu:75456
mmu00030	mmu:75731
mmu00030	mmu:79459
mmu00030	mmu:83553
mmu00040	mmu:100559
mmu00040	mmu:100727
mmu00040	mmu:102448
mmu00040	mmu:110006
mmu00040	mmu:112417
mmu00040	mmu:11677
mmu00040	mmu:11997
mmu00040	mmu:14187
mmu00040	mmu:16591
mmu00040	mmu:20322
mmu00040	mmu:216558
mmu00040	mmu:22235
mmu00040	mmu:22236
mmu00040	mmu:22238
