gene_id	gene_type	position	description	gene_symbol
mmu:115487594	ncRNA	1:3172239..3172348	Gm26206; predicted gene, 26206	Gm26206
mmu:497097	CDS	1:complement(3269956..3741733)	Xkr4, Gm210, XRG4, mKIAA1889; X-linked Kx blood group related 4	Xkr4
mmu:19888	CDS	1:complement(4185896..4479508)	Rp1, Dcdc3, Gm38717, Orp1, Rp1h, mG145; retinitis pigmentosa 1 (human)	Rp1
mmu:20671	CDS	1:complement(4561154..4567624)	Sox17; SRY (sex determining region Y)-box 17	Sox17
mmu:115487712	ncRNA	1:4599240..4599346	Gm22307; predicted gene, 22307	Gm22307
mmu:27395	CDS	1:complement(4843432..4855949)	Mrpl15, HSPC145, L15mt, MRP-L15, MRP-L7, Rpml7; mitochondrial ribosomal protein L15	Mrpl15
mmu:18777	CDS	1:4878046..4916958	Lypla1, APT-1, Gm39587, LPL-I, Pla1a; lysophospholipase 1	Lypla1
mmu:21399	CDS	1:4927917..4968132	Tcea1, S-II; transcription elongation factor A (SII) 1	Tcea1
mmu:58175	CDS	1:complement(4976342..5140528)	Rgs20, 2900073E09Rik, Rgsz1; regulator of G-protein signaling 20	Rgs20
mmu:108664	CDS	1:5153201..5233438	Atp6v1h, 0710001F19Rik, CGI-11, SFD, SFDalpha, SFDbeta, VMA13; ATPase, H+ transporting, lysosomal V1 subunit H	Atp6v1h
mmu:18387	CDS	1:5658673..5676357	Oprk1, K-OR-1, KOR, KOR-1, MSL-1, Oprk2, R21; opioid receptor, kappa 1	Oprk1
mmu:226304	CDS	1:complement(5983926..5987617)	Npbwr1, Gpr7, Nbpwr1; neuropeptides B/W receptor 1	Npbwr1
mmu:12421	CDS	1:6284858..6346599	Rb1cc1, 2900055E04Rik, 5930404L04Rik, Cc1, FIP200, LaXp180; RB1-inducible coiled-coil 1	Rb1cc1
mmu:620393	CDS	1:6429555..6464955	Alkal1, Augbeta, EG620393, Fam150a; ALK and LTK ligand 1	Alkal1
mmu:240690	CDS	1:6557455..6931164	St18, Myt3, NZF-3, Nzf3, mKIAA0535; suppression of tumorigenicity 18	St18
mmu:319263	CDS	1:7157301..7243852	Pcmtd1, 8430411F12Rik, A030012M09Rik; protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	Pcmtd1
mmu:115485783	ncRNA	1:7336027..7336156	Gm23274; predicted gene, 23274	Gm23274
mmu:71096	CDS	1:complement(8429963..9371882)	Sntg1, 4933426D16Rik, G1SYN, SYN4; syntrophin, gamma 1	Sntg1
mmu:115487601	ncRNA	1:9528895..9528997	Gm24765; predicted gene, 24765	Gm24765
mmu:59014	CDS	1:9615633..9617680	Rrs1, 5730466A07Rik, D1Ertd701e, Rrr; ribosome biogenesis regulator 1	Rrs1
mmu:76187	CDS	1:9618173..9648195	Adhfe1, 6330565B14Rik, Adh8, HOT; alcohol dehydrogenase, iron containing, 1	Adhfe1
mmu:76982	CDS	1:9671492..9697367	Vxn, 3110035E14Rik; vexin	Vxn
mmu:17864	CDS	1:complement(9737632..9770664)	Mybl1, A-myb, G1-419-6, repro9; myeloblastosis oncogene-like 1	Mybl1
mmu:70675	CDS	1:complement(9788847..9818607)	Vcpip1, 4932442A08, 5730421J18Rik, 5730538E15Rik, VCIP135, mKIAA1850; valosin containing protein (p97)/p47 complex interacting protein 1	Vcpip1
mmu:170755	CDS	1:9868355..9972795	Sgk3, 2510015P22Rik, A330005P07Rik, Cisk, fy, fz; serum/glucocorticoid regulated kinase 3	Sgk3
mmu:108167613	CDS	1:complement(9872333..9872778)	Gm6195, EG620986; predicted pseudogene 6195	Gm6195
mmu:240697	CDS	1:9978863..10011179	Mcmdc2, 6030422M02Rik; minichromosome maintenance domain containing 2	Mcmdc2
mmu:266793	ncRNA	1:complement(10012695..10012768)	Snord87, MBII-276, Rnu87, U87; small nucleolar RNA, C/D box 87	Snord87
mmu:100039596	CDS	1:complement(10030388..10038207)	Tcf24, Gm10567, Gm2330; transcription factor 24	Tcf24
mmu:69312	CDS	1:complement(10038847..10083766)	Ppp1r42, 1700011J18Rik, 4930418G15Rik, Lrrc67, TLRR; protein phosphatase 1, regulatory subunit 42	Ppp1r42
mmu:115487608	ncRNA	1:complement(10080039..10080142)	Gm24674; predicted gene, 24674	Gm24674
mmu:26754	CDS	1:complement(10094825..10108384)	Cops5, CSN5, Jab1, Mov34, Sgn5; COP9 signalosome subunit 5	Cops5
mmu:211660	CDS	1:10108194..10206996	Cspp1, 2310020J12Rik, 4930413O22Rik, Cspp2, Cspp3; centrosome and spindle pole associated protein 1	Cspp1
mmu:211673	CDS	1:complement(10207732..10303306)	Arfgef1, ARFGEP1, BIG1, D130059B05Rik, D730028O18Rik, P200; ARF guanine nucleotide exchange factor 1	Arfgef1
mmu:329093	CDS	1:complement(10366016..10790277)	Cpa6, 9030616D13Rik; carboxypeptidase A6	Cpa6
mmu:115487592	ncRNA	1:complement(10625779..10625885)	Gm25253; predicted gene, 25253	Gm25253
